time,open,high,low,close,volume
1581292800,25.07,25.907,24.031,25.189,1405091.86
1581379200,25.19,25.864,24.25,25.705,1783061.99
1581465600,25.705,26.98,25.347,26.451,1311285.47
1581552000,26.452,27.397,24.58,25.456,1451755.42
1581638400,25.455,26.697,25.043,26.384,1271237.03
1581724800,26.373,26.6,23.25,24.239,1601280.92
1581811200,24.225,25.302,21.78,23.389,1775025.82
1581897600,23.355,23.623,21.519,23.452,2036473.78
1581984000,23.462,24.519,22.726,24.094,1293664.26
1582070400,24.107,24.392,21.391,22.367,1411342.31
1582156800,22.362,22.723,21,22.191,1244980.04
1582243200,22.172,22.933,21.815,22.209,972969.37
1582329600,22.221,22.374,21.51,22.008,736112.42
1582416000,22.007,22.997,21.977,22.868,1007250.63
1582502400,22.871,23.288,21.512,22.11,1270055.15
1582588800,22.111,22.13,20.139,20.34,1444417.18
1582675200,20.345,20.547,17.87,18.729,2294044.51
1582761600,18.723,19.635,17.701,19.154,1684886.46
1582848000,19.15,19.755,17.92,19.001,1718113.47
1582934400,19.001,20.3,18.802,19.257,1734548.17
1583020800,19.25,19.913,18.5,18.9,2131016.51
1583107200,18.909,20.051,18.768,19.9,1782168.95
1583193600,19.901,20.382,19.33,19.685,1607025.05
1583280000,19.684,20.273,19.54,19.969,1399024.21
1583366400,19.969,21.472,19.965,20.754,1955491.71
1583452800,20.75,21.77,20.692,21.379,1659669.26
1583539200,21.379,21.5,19.778,20.269,1393981.18
1583625600,20.27,20.27,16.715,16.897,2287497.85
1583712000,16.886,17.465,15.628,16.589,3446761.01
1583798400,16.603,17.45,16.289,16.85,2417921.41
1583884800,16.868,17.129,15.423,16.591,2157510.13
1583971200,16.591,16.628,8.873,9.277,8451829.08
1584057600,9.23,11.708,6.236,10.958,11581062.71
1584144000,10.952,11.3,9.875,10.135,2772315.36
1584230400,10.14,11.329,9.971,10.393,2073135.23
1584316800,10.388,10.404,8.38,9.422,4585965.54
1584403200,9.432,10.531,9.326,10.241,2676624.01
1584489600,10.237,10.425,9.658,10.392,2128780.82
1584576000,10.393,12.699,10.245,12.267,2968162.77
1584662400,12.263,13.697,10.307,11.911,3028060.57
1584748800,11.912,12.439,11.272,12.101,2299755.97
1584835200,12.105,12.483,11.02,11.16,2451920.35
1584921600,11.159,12.52,10.765,12.172,2267239.39
1585008000,12.174,12.575,11.906,12.404,1739021.07
1585094400,12.4,12.708,11.96,12.304,1748919.99
1585180800,12.307,13.267,12.1,13.202,1089249.85
1585267200,13.201,13.386,12.039,12.317,1496285.83
1585353600,12.3,12.348,11.61,12.175,1325113.38
1585440000,12.177,12.228,11.26,11.267,962357.57
1585526400,11.273,12.424,11.225,12.123,1233496.79
1585612800,12.128,12.75,12.1,12.536,1326495.93
1585699200,12.539,12.748,11.96,12.706,1409144.95
1585785600,12.706,13.755,12.5,13.008,1867018.75
1585872000,13.015,13.578,12.912,13.359,1364218.69
1585958400,13.361,14.051,13.136,13.781,2264887.58
1586044800,13.776,13.969,13.411,13.699,1172217.67
1586131200,13.696,15.232,13.639,15.189,1945463.95
1586217600,15.189,15.512,14.25,14.725,2241051.33
1586304000,14.728,15.377,14.567,15.098,1491320.55
1586390400,15.102,15.218,14.611,15.013,1257983.36
1586476800,15.012,15.082,13.455,13.708,1903505.01
1586563200,13.708,14.09,13.519,13.804,1163328.91
1586649600,13.812,14.846,13.639,14.287,1590489.3
1586736000,14.282,15.075,13.5,15,4021749.59
1586822400,15.001,15.954,14.763,15.593,4569526.7
1586908800,15.589,15.811,14.467,14.544,2880471.05
1586995200,14.544,15.767,14.069,15.737,3098334.13
1587081600,15.739,15.92,15.139,15.61,2188537.87
1587168000,15.61,16.823,15.6,16.58,2281422.62
1587254400,16.579,16.669,15.77,16.035,1830505.32
1587340800,16.03,16.456,14.775,14.928,2594135.67
1587427200,14.924,15.422,14.666,15.113,2440212.54
1587513600,15.103,15.823,14.913,15.697,1604788.72
1587600000,15.697,16.463,15.379,16.049,2065896.92
1587686400,16.055,16.269,15.658,15.93,1552796.52
1587772800,15.923,16.449,15.74,16.233,1260384.21
1587859200,16.235,16.43,15.952,16.347,1213378.93
1587945600,16.348,16.567,16.043,16.414,1340597.08
1588032000,16.402,16.465,16.14,16.335,1016776.69
1588118400,16.335,17.495,16.294,17.333,2061367.45
1588204800,17.327,18.137,16.32,16.928,3117440.2
1588291200,16.916,17.856,16.909,17.44,1970326.21
1588377600,17.439,17.568,17.248,17.52,952641.13
1588464000,17.519,17.799,16.771,17.083,1213703.65
1588550400,17.081,17.267,16.25,17.003,1525917.37
1588636800,16.998,17.294,16.585,16.85,1147397.72
1588723200,16.852,17.139,16.35,16.391,1058713.8
1588809600,16.388,17.242,16.024,16.997,1291777.28
1588896000,16.999,17.4,16.817,17.145,1168733.8
1588982400,17.145,17.495,16.754,16.766,1096794.81
1589068800,16.763,16.795,13.63,15.309,2530265.21
1589155200,15.306,15.522,14.014,15.073,1827284.58
1589241600,15.085,16.22,14.966,15.756,1966025.46
1589328000,15.756,16.361,15.627,16.177,1107585.56
1589414400,16.182,16.693,15.976,16.361,1152546.06
1589500800,16.368,16.451,15.542,15.71,1105577.41
1589587200,15.707,16.228,15.577,16.059,738007.81
1589673600,16.06,16.522,16.004,16.293,704263
1589760000,16.294,16.872,16.235,16.638,791209.22
1589846400,16.64,17.25,16.302,17.215,1083398.38
1589932800,17.211,17.348,16.45,16.887,1036929.85
1590019200,16.891,17.064,15.732,16.097,1410902.92
1590105600,16.092,16.924,15.935,16.606,1110318.45
1590192000,16.606,16.866,16.345,16.49,660987.44
1590278400,16.489,16.803,15.929,15.952,833129.55
1590364800,15.943,16.426,15.789,16.385,1036864.54
1590451200,16.385,16.503,15.972,16.219,861433.7
1590537600,16.214,16.517,16.162,16.481,715038.99
1590624000,16.481,17.16,16.413,17.092,754792.47
1590710400,17.09,17.208,16.642,17.016,956578.12
1590796800,17.01,17.8,16.937,17.737,1149486.18
1590883200,17.738,18.203,16.854,17.089,1550100.17
1590969600,17.098,18.173,16.983,17.956,1316915.19
1591056000,17.968,18.228,16.556,17.274,1588636.39
1591142400,17.282,17.621,16.962,17.573,870634.86
1591228800,17.573,17.658,17.05,17.526,925519.02
1591315200,17.525,17.909,17.44,17.686,1258405.64
1591401600,17.691,17.794,17.5,17.567,713949.46
1591488000,17.567,17.65,16.87,17.415,972665.27
1591574400,17.416,17.561,17.25,17.453,484372.68
1591660800,17.453,17.521,17.01,17.383,492253.86
1591747200,17.382,17.59,17.175,17.419,584324.54
1591833600,17.414,17.536,15.861,16.231,1058267.51
1591920000,16.234,16.822,16.078,16.643,678208.71
1592006400,16.645,16.822,16.49,16.807,439411.15
1592092800,16.809,16.819,16.391,16.566,498068.67
1592179200,16.566,16.606,15.404,16.378,1054648.72
1592265600,16.384,16.65,16.153,16.429,611416.87
1592352000,16.427,16.66,15.966,16.39,732374.44
1592438400,16.389,16.55,15.878,16.169,658968.53
1592524800,16.168,16.306,15.9,15.966,609887.35
1592611200,15.966,16.151,15.688,16.071,555612.11
1592697600,16.076,16.335,15.936,15.982,443718.08
1592784000,15.982,16.573,15.962,16.514,604840.29
1592870400,16.509,16.568,16.291,16.396,547942.9
1592956800,16.396,16.666,15.955,16.037,914643.91
1593043200,16.037,16.093,15.444,15.925,717234.89
1593129600,15.92,15.997,15.587,15.778,527797.39
1593216000,15.778,15.895,14.701,15.139,676888.5
1593302400,15.133,15.502,14.866,15.386,499658.43
1593388800,15.394,15.6,15.203,15.48,593042.75
1593475200,15.487,15.562,15.272,15.411,452224.78
1593561600,15.411,15.892,15.329,15.819,719045.93
1593648000,15.819,15.978,15.065,15.375,979124.16
1593734400,15.371,15.498,15.26,15.288,401055.73
1593820800,15.288,15.638,15.251,15.574,435268.81
1593907200,15.574,15.615,15.116,15.502,504443.13
1593993600,15.503,16.367,15.463,16.324,1083247.77
1594080000,16.322,16.9,16.02,16.837,1773432.41
1594166400,16.832,17.47,16.597,17.29,2040324.55
1594252800,17.291,17.53,16.504,16.844,1905706.54
1594339200,16.842,17.37,16.455,17.325,1664970.06
1594425600,17.327,17.695,17.023,17.631,1874795.7
1594512000,17.64,18.619,17.611,18.312,3517420.62
1594598400,18.313,19.069,17.8,18.419,3628616.74
1594684800,18.414,18.795,17.7,18.09,2879951.02
1594771200,18.088,18.175,17.412,17.648,2184575.72
1594857600,17.651,17.798,16.426,17.171,2538439.31
1594944000,17.168,17.484,16.95,17.073,1713580.97
1595030400,17.071,17.35,16.816,17.156,1330795.71
1595116800,17.158,18.141,16.871,18.039,3496898.97
1595203200,18.041,18.333,17.249,17.493,2566534.66
1595289600,17.482,17.99,17.404,17.737,1532182.84
1595376000,17.73,18.133,17.448,18.103,1322551.32
1595462400,18.115,18.788,18.056,18.768,2188672.07
1595548800,18.764,19.583,18.248,19.204,3673730.88
1595635200,19.206,20.081,19.154,19.84,2662190.38
1595721600,19.84,20.34,19.112,19.577,2425776.85
1595808000,19.58,20.222,18.331,19.792,3493682.1
1595894400,19.789,20.73,19.48,20.184,3005300.19
1595980800,20.18,20.435,19.779,19.901,1425583.56
1596067200,19.906,20.149,19.521,19.978,1221121.31
1596153600,19.988,20.88,19.95,20.686,1898997.59
1596240000,20.683,21.799,20.598,21.646,2430826.19
1596326400,21.641,22.25,18.546,20.959,3083866.51
1596412800,20.961,22.562,20.615,22.064,3221483.44
1596499200,22.064,22.465,21.439,22.323,2212028.31
1596585600,22.324,23.55,22.084,23.236,3451873.87
1596672000,23.235,23.274,22.5,22.76,2125780.63
1596758400,22.757,23,21.01,22.334,3142139.9
1596844800,22.334,22.914,21.813,22.909,1839275.06
1596931200,22.908,22.918,22,22.416,1440236.79
1597017600,22.426,22.806,22,22.656,1659355.72
1597104000,22.655,22.792,20.6,21.278,2437916.51
1597190400,21.289,22.021,20.509,21.503,2215072.53
1597276800,21.503,21.896,20.669,21.789,2571288.23
1597363200,21.798,23.356,21.273,23.141,3798335.65
1597449600,23.141,23.82,22.755,23.107,2360235.15
1597536000,23.096,23.833,22.707,23.54,2005272.88
1597622400,23.54,24.081,22.94,23.503,2257776.71
1597708800,23.504,23.806,22.319,23.016,1861857.37
